PERMANOVA
Permutational MANOVA

Resemblance worksheet
Name: Resem13
Data type: Similarity
Selection: All
Transform: Square root
Resemblance: S17 Bray-Curtis similarity

Sums of squares type: Type III (partial)
Fixed effects sum to zero for mixed terms
Permutation method: Permutation of residuals under a reduced model
Number of permutations: 9999

Factors
Name	Abbrev.	Type	Levels
2012, 2016	  10.369	 0.0001	  9945
2012, 2017	  4.8805	 0.0001	  9958
2012, 2018	  3.6029	 0.0001	  9969
2012, 2019	  8.1229	 0.0001	  9961
2012, 2020	  4.5533	 0.0001	  9959
2012, 2021	  5.2431	 0.0001	  9955
2012, 2022	  4.9513	 0.0001	  9950
2013, 2014	 0.57828	 0.7826	  9962
2013, 2015	  1.1032	 0.3102	  9967
2013, 2016	  11.527	 0.0001	  9956
2013, 2017	  5.5934	 0.0001	  9970
2013, 2018	  4.2124	 0.0001	  9957
2013, 2019	   7.669	 0.0001	  9965
2013, 2020	  5.0551	 0.0001	  9949
2013, 2021	  6.5368	 0.0001	  9961
2013, 2022	  5.7258	 0.0001	  9961
2014, 2015	Negative	       	      
2014, 2016	  11.922	 0.0001	  9946
2014, 2017	  5.4616	 0.0001	  9959
2014, 2018	  4.3082	 0.0001	  9961
2014, 2019	  7.7752	 0.0001	  9948
2014, 2020	  4.9018	 0.0001	  9967
2014, 2021	  6.4402	 0.0001	  9937
2014, 2022	  5.6381	 0.0001	  9960
2015, 2016	  10.998	 0.0001	  9958
2015, 2017	  4.7114	 0.0001	  9960
2015, 2018	  3.5987	 0.0001	  9960
2015, 2019	  6.8267	 0.0001	  9949
2015, 2020	  4.0598	 0.0001	  9971
2015, 2021	  5.7422	 0.0001	  9956
2015, 2022	  4.8436	 0.0001	  9961
2016, 2017	  7.0052	 0.0001	  9953
2016, 2018	  9.6103	 0.0001	  9959
2016, 2019	  5.3413	 0.0001	  9962
2016, 2020	  7.8164	 0.0001	  9969
2016, 2021	  5.6973	 0.0001	  9963
2016, 2022	  6.8752	 0.0001	  9958
2017, 2018	  4.1565	 0.0001	  9956
2017, 2019	  3.2425	 0.0001	  9965
2017, 2020	  2.1612	 0.0097	  9962
2017, 2021	  2.3579	 0.0055	  9948
2017, 2022	  2.0039	 0.0141	  9964
2018, 2019	    4.81	 0.0001	  9961
2018, 2020	  2.7866	 0.0006	  9954
2018, 2021	  4.3667	 0.0001	  9957
2018, 2022	   3.357	 0.0001	  9962
2019, 2020	  3.0106	 0.0001	  9955
2019, 2021	 0.99035	 0.3897	  9953
2019, 2022	  2.0753	 0.0154	  9961
2020, 2021	  2.1904	  0.009	  9974
2020, 2022	  1.2963	  0.177	  9962
2021, 2022	  0.4342	 0.8268	  9965

Denominators
Groups	Denominator	Den.df
2003, 2004	1*Res	    48
2003, 2005	1*Res	    48
2003, 2006	1*Res	    48
2003, 2007	1*Res	    48
2003, 2008	1*Res	    48
2003, 2009	1*Res	    48
2003, 2010	1*Res	    60
2003, 2011	1*Res	    60
2003, 2012	1*Res	    60
2003, 2013	1*Res	    78
2003, 2014	1*Res	    78
2003, 2015	1*Res	    78
2003, 2016	1*Res	    78
2003, 2017	1*Res	    78
2003, 2018	1*Res	    78
2003, 2019	1*Res	    78
2003, 2020	1*Res	    78
2003, 2021	1*Res	    78
2003, 2022	1*Res	    78
2004, 2005	1*Res	    48
2004, 2006	1*Res	    48
2004, 2007	1*Res	    48
2004, 2008	1*Res	    48
2004, 2009	1*Res	    48
2004, 2010	1*Res	    60
2004, 2011	1*Res	    60
2004, 2012	1*Res	    60
2004, 2013	1*Res	    78
2004, 2014	1*Res	    78
2004, 2015	1*Res	    78
2004, 2016	1*Res	    78
2004, 2017	1*Res	    78
2004, 2018	1*Res	    78
2004, 2019	1*Res	    78
2004, 2020	1*Res	    78
2004, 2021	1*Res	    78
2004, 2022	1*Res	    78
2005, 2006	1*Res	    48
2005, 2007	1*Res	    48
2005, 2008	1*Res	    48
2005, 2009	1*Res	    48
2005, 2010	1*Res	    60
2005, 2011	1*Res	    60
2005, 2012	1*Res	    60
2005, 2013	1*Res	    78
2005, 2014	1*Res	    78
2005, 2015	1*Res	    78
2005, 2016	1*Res	    78
2005, 2017	1*Res	    78
2005, 2018	1*Res	    78
2005, 2019	1*Res	    78
2005, 2020	1*Res	    78
2005, 2021	1*Res	    78
2005, 2022	1*Res	    78
2006, 2007	1*Res	    48
2006, 2008	1*Res	    48
2006, 2009	1*Res	    48
2006, 2010	1*Res	    60
2006, 2011	1*Res	    60
2006, 2012	1*Res	    60
2006, 2013	1*Res	    78
2006, 2014	1*Res	    78
2006, 2015	1*Res	    78
2006, 2016	1*Res	    78
2006, 2017	1*Res	    78
2006, 2018	1*Res	    78
2006, 2019	1*Res	    78
2006, 2020	1*Res	    78
2006, 2021	1*Res	    78
2006, 2022	1*Res	    78
2007, 2008	1*Res	    48
2007, 2009	1*Res	    48
2007, 2010	1*Res	    60
2007, 2011	1*Res	    60
2007, 2012	1*Res	    60
2007, 2013	1*Res	    78
2007, 2014	1*Res	    78
2007, 2015	1*Res	    78
2007, 2016	1*Res	    78
2007, 2017	1*Res	    78
2007, 2018	1*Res	    78
2007, 2019	1*Res	    78
2007, 2020	1*Res	    78
2007, 2021	1*Res	    78
2007, 2022	1*Res	    78
2008, 2009	1*Res	    48
2008, 2010	1*Res	    60
2008, 2011	1*Res	    60
2008, 2012	1*Res	    60
2008, 2013	1*Res	    78
2008, 2014	1*Res	    78
2008, 2015	1*Res	    78
2008, 2016	1*Res	    78
2008, 2017	1*Res	    78
2008, 2018	1*Res	    78
2008, 2019	1*Res	    78
2008, 2020	1*Res	    78
2008, 2021	1*Res	    78
2008, 2022	1*Res	    78
2009, 2010	1*Res	    60
2009, 2011	1*Res	    60
2009, 2012	1*Res	    60
2009, 2013	1*Res	    78
2009, 2014	1*Res	    78
2009, 2015	1*Res	    78
2009, 2016	1*Res	    78
2009, 2017	1*Res	    78
2009, 2018	1*Res	    78
2009, 2019	1*Res	    78
2009, 2020	1*Res	    78
2009, 2021	1*Res	    78
2009, 2022	1*Res	    78
2010, 2011	1*Res	    72
2010, 2012	1*Res	    72
2010, 2013	1*Res	    90
2010, 2014	1*Res	    90
2010, 2015	1*Res	    90
2010, 2016	1*Res	    90
2010, 2017	1*Res	    90
2010, 2018	1*Res	    90
2010, 2019	1*Res	    90
2010, 2020	1*Res	    90
2010, 2021	1*Res	    90
2010, 2022	1*Res	    90
2011, 2012	1*Res	    72
2011, 2013	1*Res	    90
2011, 2014	1*Res	    90
2011, 2015	1*Res	    90
2011, 2016	1*Res	    90
2011, 2017	1*Res	    90
2011, 2018	1*Res	    90
2011, 2019	1*Res	    90
2011, 2020	1*Res	    90
2011, 2021	1*Res	    90
2011, 2022	1*Res	    90
2012, 2013	1*Res	    90
2012, 2014	1*Res	    90
2012, 2015	1*Res	    90
2012, 2016	1*Res	    90
2012, 2017	1*Res	    90
2012, 2018	1*Res	    90
2012, 2019	1*Res	    90
2012, 2020	1*Res	    90
2012, 2021	1*Res	    90
2012, 2022	1*Res	    90
2013, 2014	1*Res	   108
2013, 2015	1*Res	   108
2013, 2016	1*Res	   108
2013, 2017	1*Res	   108
2013, 2018	1*Res	   108
2013, 2019	1*Res	   108
2013, 2020	1*Res	   108
2013, 2021	1*Res	   108
2013, 2022	1*Res	   108
2014, 2015	1*Res	   108
2014, 2016	1*Res	   108
2014, 2017	1*Res	   108
2014, 2018	1*Res	   108
2014, 2019	1*Res	   108
2014, 2020	1*Res	   108
2014, 2021	1*Res	   108
2014, 2022	1*Res	   108
2015, 2016	1*Res	   108
2015, 2017	1*Res	   108
2015, 2018	1*Res	   108
2015, 2019	1*Res	   108
2015, 2020	1*Res	   108
2015, 2021	1*Res	   108
2015, 2022	1*Res	   108
2016, 2017	1*Res	   108
2016, 2018	1*Res	   108
2016, 2019	1*Res	   108
2016, 2020	1*Res	   108
2016, 2021	1*Res	   108
2016, 2022	1*Res	   108
2017, 2018	1*Res	   108
2017, 2019	1*Res	   108
2017, 2020	1*Res	   108
2017, 2021	1*Res	   108
2017, 2022	1*Res	   108
2018, 2019	1*Res	   108
2018, 2020	1*Res	   108
2018, 2021	1*Res	   108
2018, 2022	1*Res	   108
2019, 2020	1*Res	   108
2019, 2021	1*Res	   108
2019, 2022	1*Res	   108
2020, 2021	1*Res	   108
2020, 2022	1*Res	   108
2021, 2022	1*Res	   108

Average Similarity between/within groups
	  2003	  2004	  2005	  2006	  2007	  2008	  2009	  2010	  2011	  2012	  2013	  2014	  2015	  2016	  2017	  2018	  2019	  2020	  2021	  2022
2003	80.718	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      
2004	80.413	80.232	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      
2005	81.899	81.611	82.853	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      
2006	78.963	78.308	80.312	79.629	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      
2007	81.148	81.244	82.502	79.814	81.974	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      
2008	78.502	79.032	80.166	78.484	80.103	79.042	      	      	      	      	      	      	      	      	      	      	      	      	      	      
2009	80.314	80.639	81.766	79.198	81.772	80.541	81.679	      	      	      	      	      	      	      	      	      	      	      	      	      
2010	80.516	80.469	82.208	80.374	81.971	80.458	81.771	82.926	      	      	      	      	      	      	      	      	      	      	      	      
2011	80.644	80.447	82.373	80.701	82.088	80.449	81.705	83.575	83.855	      	      	      	      	      	      	      	      	      	      	      
2012	79.735	 79.74	81.574	80.283	81.432	80.018	81.073	82.571	83.007	 82.18	      	      	      	      	      	      	      	      	      	      
2013	80.227	80.007	82.002	81.426	81.662	80.891	 81.76	83.063	83.353	82.837	84.002	      	      	      	      	      	      	      	      	      
2014	 80.12	  79.8	81.956	81.807	81.626	81.122	 81.85	83.224	83.554	83.122	84.596	84.988	      	      	      	      	      	      	      	      
2015	79.703	79.482	81.533	81.474	81.317	80.844	81.499	82.878	83.242	82.825	 84.19	84.727	 84.22	      	      	      	      	      	      	      
2016	71.315	 71.76	73.696	76.931	73.673	75.021	73.872	76.005	76.627	77.046	78.656	79.608	  79.6	83.056	      	      	      	      	      	      
2017	77.447	77.328	79.702	80.987	79.429	79.802	79.642	81.582	82.165	82.028	 83.53	84.365	84.157	82.677	85.552	      	      	      	      	      
2018	78.477	78.348	80.225	 80.68	80.081	79.901	80.225	81.084	81.387	81.213	82.782	83.354	83.137	80.052	83.614	 82.75	      	      	      	      
2019	 76.29	76.117	78.439	80.779	78.157	79.153	78.533	80.118	80.633	80.809	82.784	83.765	83.621	83.678	85.746	83.774	86.509	      	      	      
2020	78.154	77.689	80.067	81.481	79.851	80.035	80.043	81.763	82.298	 82.09	83.748	84.566	84.359	82.183	85.537	83.952	85.783	85.635	      	      
2021	76.626	76.202	78.631	80.512	78.236	78.698	78.444	80.378	 80.94	80.874	 82.63	83.499	 83.28	82.348	84.855	83.025	85.283	84.958	84.362	      
2022	77.837	77.402	79.862	81.546	79.436	79.851	79.629	81.423	81.941	81.888	83.693	 84.56	84.343	82.831	 85.82	84.035	86.265	85.959	85.329	86.179

