PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: Resem13
Data type: Similarity
Selection: All
Transform: Square root
Resemblance: S17 Bray-Curtis similarity

Group factor: Year
Number of permutations: 9999

Number of groups: 20
Number of samples: 1088

DEVIATIONS FROM CENTROID
F: 5.4512  df1: 19  df2: 1068
P(perm): 0.0001

PAIRWISE COMPARISONS
Groups	       t	P(perm)				
(2007,2019)	  3.3933	 0.0039				
(2007,2020)	  2.6708	 0.0165				
(2007,2021)	  1.3992	 0.2467				
(2007,2022)	  3.0286	 0.0058				
(2008,2009)	  1.3273	 0.2277				
(2008,2010)	  2.3461	 0.0345				
(2008,2011)	  3.0036	 0.0064				
(2008,2012)	  1.6493	 0.1299				
(2008,2013)	  3.3367	 0.0021				
(2008,2014)	   4.477	 0.0002				
(2008,2015)	   3.661	 0.0007				
(2008,2016)	  2.5501	 0.0146				
(2008,2017)	  4.6609	 0.0001				
(2008,2018)	  2.2324	 0.0374				
(2008,2019)	  5.4286	 0.0001				
(2008,2020)	  4.7601	 0.0001				
(2008,2021)	  3.3782	 0.0038				
(2008,2022)	  4.9961	 0.0001				
(2009,2010)	  1.1034	 0.3098				
(2009,2011)	   1.943	 0.0717				
(2009,2012)	 0.41808	 0.7029				
(2009,2013)	  2.0591	 0.0557				
(2009,2014)	  3.3646	 0.0025				
(2009,2015)	  2.3808	 0.0272				
(2009,2016)	  1.1489	 0.2612				
(2009,2017)	  3.6139	 0.0011				
(2009,2018)	 0.83488	 0.4258				
(2009,2019)	  4.5467	 0.0001				
(2009,2020)	   3.732	 0.0008				
(2009,2021)	  2.1291	 0.0747				
(2009,2022)	  4.0302	 0.0002				
(2010,2011)	 0.93876	 0.3776				
(2010,2012)	 0.55562	 0.6121				
(2010,2013)	  1.0306	  0.344				
(2010,2014)	  2.1558	 0.0457				
(2010,2015)	  1.2289	 0.2421				
(2010,2016)	0.045589	 0.9641				
(2010,2017)	  2.6333	 0.0155				
(2010,2018)	 0.24139	  0.813				
(2010,2019)	   3.671	 0.0007				
(2010,2020)	  2.7365	 0.0114				
(2010,2021)	  1.1492	 0.3268				
(2010,2022)	  3.2198	  0.003				
(2011,2012)	  1.3595	 0.2014				
(2011,2013)	 0.01143	 0.9913				
(2011,2014)	 0.95946	 0.3607				
(2011,2015)	 0.11929	 0.9046				
(2011,2016)	 0.94009	  0.351				
(2011,2017)	  1.5265	 0.1546				
(2011,2018)	  1.1797	  0.266				
(2011,2019)	  2.5525	 0.0207				
(2011,2020)	  1.6154	 0.1296				
(2011,2021)	 0.15157	 0.8936				
(2011,2022)	  2.1647	 0.0405				
(2012,2013)	  1.5284	 0.1498				
(2012,2014)	   2.537	 0.0155				
(2012,2015)	  1.7255	 0.1004				
(2012,2016)	 0.64274	 0.5366				
(2012,2017)	  2.9526	 0.0049				
(2012,2018)	 0.36229	 0.7352				
(2012,2019)	  3.8647	 0.0005				
(2012,2020)	  3.0426	 0.0034				
(2012,2021)	  1.6275	  0.164				
(2012,2022)	  3.4751	 0.0005				
(2013,2014)	  1.0258	 0.3344				
(2013,2015)	 0.11733	 0.9074				
(2013,2016)	  1.0635	 0.2847				
(2013,2017)	  1.6695	  0.111				
(2013,2018)	  1.3407	 0.2049				
(2013,2019)	  2.8028	 0.0098				
(2013,2020)	  1.7636	 0.0886				
(2013,2021)	 0.15704	 0.8928				
(2013,2022)	  2.3973	 0.0203				
(2014,2015)	  0.9817	 0.3482				
(2014,2016)	  2.1909	 0.0307				
(2014,2017)	 0.80304	 0.4458				
(2014,2018)	  2.4409	 0.0185				
(2014,2019)	  2.0895	 0.0487				
(2014,2020)	 0.90233	 0.3893				
(2014,2021)	 0.82709	 0.4637				
(2014,2022)	  1.6552	 0.1104				
(2015,2016)	  1.2484	 0.2213				
(2015,2017)	  1.6715	 0.1093				
(2015,2018)	  1.5319	 0.1491				
(2015,2019)	  2.8892	 0.0062				
(2015,2020)	  1.7741	 0.0896				
(2015,2021)	0.052422	 0.9657				
(2015,2022)	  2.4435	 0.0156				
(2016,2017)	  2.7535	 0.0057				
(2016,2018)	 0.31229	 0.7591				
(2016,2019)	  3.8636	 0.0002				
(2016,2020)	   2.855	 0.0038				
(2016,2021)	  1.1989	 0.2673				
(2016,2022)	  3.4258	  0.001				
(2017,2018)	  2.9722	 0.0057				
(2017,2019)	  1.1998	 0.2519				
(2017,2020)	0.083619	  0.934				
(2017,2021)	   1.471	 0.1752				
(2017,2022)	  0.8387	 0.4172				
(2018,2019)	  4.0372	 0.0002				
(2018,2020)	  3.0702	 0.0038				
(2018,2021)	  1.4673	 0.1878				
(2018,2022)	  3.6151	 0.0003				
(2019,2020)	  1.1283	 0.2821				
(2019,2021)	  2.5821	 0.0255				
(2019,2022)	 0.30755	 0.7684				
(2020,2021)	  1.5612	 0.1519				
(2020,2022)	 0.76663	 0.4515				
(2021,2022)	  2.1948	 0.0475				

MEANS AND STANDARD ERRORS
Group	Size	Average	     SE
2003	  32	 13.672	0.90103
2004	  32	 13.836	 1.1052
2005	  32	 12.132	 0.7381
2006	  32	  14.09	 1.2545
2007	  32	 12.601	0.95095
2008	  32	 14.669	 1.0309
2009	  32	 13.065	0.63066
2010	  48	  12.11	0.56801
2011	  48	 11.341	0.58958
2012	  48	 12.628	0.74085
2013	  72	 11.332	0.48557
2014	  72	 10.703	0.37504
2015	  72	 11.257	0.42158
2016	  72	 12.075	0.50127
2017	  72	 10.239	0.43941
2018	  72	 12.304	0.53825
2019	  72	 9.4906	 0.4427
2020	  72	 10.188	0.43077
2021	  72	 11.222	0.50383
2022	  72	 9.6919	0.48212

